emoji,name,group,exclude
🎺,Trumpet,Objects,
🎻,Violin,Objects,
🥁,Drum,Objects,
📱,Mobile Phone,Objects,
📲,Mobile Phone with Arrow,Objects,
☎️,Telephone,Objects,
📞,Telephone Receiver,Objects,
📟,Pager,Objects,
📠,Fax Machine,Objects,
🔋,Battery,Objects,
🔌,Electric Plug,Objects,
💻,Laptop,Objects,
🖥️,Desktop Computer,Objects,
🖨️,Printer,Objects,
⌨️,Keyboard,Objects,
🖱️,Computer Mouse,Objects,
🖲️,Trackball,Objects,
💽,Computer Disk,Objects,
💾,Floppy Disk,Objects,
💿,Optical Disk,Objects,
📀,DVD,Objects,
🎥,Movie Camera,Objects,
🎞️,Film Frames,Objects,
📽️,Film Projector,Objects,
🎬,Clapper Board,Objects,
📺,Television,Objects,
📷,Camera,Objects,
📸,Camera with Flash,Objects,
📹,Video Camera,Objects,
📼,Videocassette,Objects,
🔍,Magnifying Glass Tilted Left,Objects,
🔎,Magnifying Glass Tilted Right,Objects,
🕯️,Candle,Objects,
💡,Light Bulb,Objects,
🔦,Flashlight,Objects,
📔,Notebook with Decorative Cover,Objects,
📕,Closed Book,Objects,
📖,Open Book,Objects,
📗,Green Book,Objects,
📘,Blue Book,Objects,
📙,Orange Book,Objects,
📚,Books,Objects,
📓,Notebook,Objects,
📒,Ledger,Objects,
📃,Page with Curl,Objects,
📜,Scroll,Objects,
📄,Page Facing Up,Objects,
📰,Newspaper,Objects,
🗞️,Rolled-Up Newspaper,Objects,
📑,Bookmark Tabs,Objects,
🔖,Bookmark,Objects,
🏷️,Label,Objects,
💰,Money Bag,Objects,
💴,Yen Banknote,Objects,
💵,Dollar Banknote,Objects,
💶,Euro Banknote,Objects,
💷,Pound Banknote,Objects,
💸,Money with Wings,Objects,
💳,Credit Card,Objects,
🧾,Receipt,Objects,
💹,Chart Increasing with Yen,Objects,
✉️,Envelope,Objects,
📧,E-Mail,Objects,
📨,Incoming Envelope,Objects,
📩,Envelope with Arrow,Objects,
📤,Outbox Tray,Objects,
📥,Inbox Tray,Objects,
📦,Package,Objects,
📫,Closed Mailbox with Raised Flag,Objects,
📪,Closed Mailbox with Lowered Flag,Objects,
📬,Open Mailbox with Raised Flag,Objects,
📭,Open Mailbox with Lowered Flag,Objects,
📮,Postbox,Objects,
🗳️,Ballot Box with Ballot,Objects,
✏️,Pencil,Objects,
✒️,Black Nib,Objects,
🖋️,Fountain Pen,Objects,
🖊️,Pen,Objects,
🖌️,Paintbrush,Objects,
🖍️,Crayon,Objects,
📝,Memo,Objects,
📁,File Folder,Objects,
📂,Open File Folder,Objects,
🗂️,Card Index Dividers,Objects,
📅,Calendar,Objects,
📆,Tear-Off Calendar,Objects,
🗒️,Spiral Notepad,Objects,
🗓️,Spiral Calendar,Objects,
📇,Card Index,Objects,
📈,Chart Increasing,Objects,
📉,Chart Decreasing,Objects,
📊,Bar Chart,Objects,
📋,Clipboard,Objects,
📌,Pushpin,Objects,
📍,Round Pushpin,Objects,
📎,Paperclip,Objects,
🖇️,Linked Paperclips,Objects,
📏,Straight Ruler,Objects,
📐,Triangular Ruler,Objects,
✂️,Scissors,Objects,
🗃️,Card File Box,Objects,
🗄️,File Cabinet,Objects,
🔒,Locked,Objects,
🔓,Unlocked,Objects,
🔏,Locked with Pen,Objects,
🔐,Locked with Key,Objects,
🔑,Key,Objects,
🗝️,Old Key,Objects,
🔨,Hammer,Objects,
⛏️,Pick,Objects,
⚒️,Hammer and Pick,Objects,
🛠️,Hammer and Wrench,Objects,
🗡️,Dagger,Objects,
⚔️,Crossed Swords,Objects,
💣,Bomb,Objects,
🪃,Boomerang,Objects,
🏹,Bow and Arrow,Objects,
🛡️,Shield,Objects,
🔧,Wrench,Objects,
🔩,Nut and Bolt,Objects,
⚙️,Gear,Objects,
🗜️,Clamp,Objects,
⚖️,Balance Scale,Objects,
🦯,White Cane,Objects,
🔗,Link,Objects,
⛓️,Chains,Objects,
🧰,Toolbox,Objects,
🧲,Magnet,Objects,
⚗️,Alembic,Objects,
🧬,DNA,Objects,
🔬,Microscope,Objects,
🔭,Telescope,Objects,
📡,Satellite Antenna,Objects,
💉,Syringe,Objects,
🩸,Drop of Blood,Objects,
💊,Pill,Objects,
🩹,Adhesive Bandage,Objects,
🩺,Stethoscope,Objects,
🚪,Door,Objects,
🪟,Window,Objects,
🛏️,Bed,Objects,
🛋️,Couch and Lamp,Objects,
🪑,Chair,Objects,
🚽,Toilet,Objects,
🚿,Shower,Objects,
🛁,Bathtub,Objects,
🪒,Razor,Objects,
🧴,Lotion Bottle,Objects,
🧷,Safety Pin,Objects,
🧹,Broom,Objects,
🧺,Basket,Objects,
🧻,Roll of Paper,Objects,
🧼,Soap,Objects,
🧽,Sponge,Objects,
🧯,Fire Extinguisher,Objects,
🛒,Shopping Cart,Objects,
🚬,Cigarette,Objects,
⚰️,Coffin,Objects,
⚱️,Funeral Urn,Objects,
🧿,Nazar Amulet,Objects,
🗿,Moai,Objects,
🪧,Placard,Objects,
🏧,ATM Sign,Symbols,
🚮,Litter in Bin Sign,Symbols,
🚰,Potable Water,Symbols,
♿,Wheelchair Symbol,Symbols,
🚹,Mens Room,Symbols,
🚺,Womens Room,Symbols,
🚻,Restroom,Symbols,
🚼,Baby Symbol,Symbols,
🚾,Water Closet,Symbols,
🛂,Passport Control,Symbols,
🛃,Customs,Symbols,
🛄,Baggage Claim,Symbols,
🛅,Left Luggage,Symbols,
⚠️,Warning,Symbols,
🚸,Children Crossing,Symbols,
⛔,No Entry,Symbols,
🚫,Prohibited,Symbols,
🚳,No Bicycles,Symbols,
🚭,No Smoking,Symbols,
🚯,No Littering,Symbols,
🚱,Non-Potable Water,Symbols,
🚷,No Pedestrians,Symbols,
📵,No Mobile Phones,Symbols,
🔞,No One Under Eighteen,Symbols,
☢️,Radioactive,Symbols,
☣️,Biohazard,Symbols,
⬆️,Up Arrow,Symbols,
↗️,Up-Right Arrow,Symbols,
➡️,Right Arrow,Symbols,
↘️,Down-Right Arrow,Symbols,
⬇️,Down Arrow,Symbols,
↙️,Down-Left Arrow,Symbols,
⬅️,Left Arrow,Symbols,
↖️,Up-Left Arrow,Symbols,
↕️,Up-Down Arrow,Symbols,
↔️,Left-Right Arrow,Symbols,
↩️,Right Arrow Curving Left,Symbols,
↪️,Left Arrow Curving Right,Symbols,
⤴️,Right Arrow Curving Up,Symbols,
⤵️,Right Arrow Curving Down,Symbols,
🔃,Clockwise Vertical Arrows,Symbols,
🔄,Counterclockwise Arrows Button,Symbols,
🔙,BACK Arrow,Symbols,
🔚,END Arrow,Symbols,
🔛,ON! Arrow,Symbols,
🔜,SOON Arrow,Symbols,
🔝,TOP Arrow,Symbols,
🛐,Place of Worship,Symbols,
⚛️,Atom Symbol,Symbols,
🕉️,Om,Symbols,
✡️,Star of David,Symbols,
☸️,Wheel of Dharma,Symbols,
☯️,Yin Yang,Symbols,
✝️,Latin Cross,Symbols,
☦️,Orthodox Cross,Symbols,
☪️,Star and Crescent,Symbols,
☮️,Peace Symbol,Symbols,
🕎,Menorah,Symbols,
🔯,Dotted Six-Pointed Star,Symbols,
🔀,Shuffle Tracks Button,Symbols,
🔁,Repeat Button,Symbols,
🔂,Repeat Single Button,Symbols,
▶️,Play Button,Symbols,
⏩,Fast-Forward Button,Symbols,
⏭️,Next Track Button,Symbols,
⏯️,Play or Pause Button,Symbols,
◀️,Reverse Button,Symbols,
⏪,Fast Reverse Button,Symbols,
⏮️,Last Track Button,Symbols,
🔼,Upwards Button,Symbols,
⏫,Fast Up Button,Symbols,
🔽,Downwards Button,Symbols,
⏬,Fast Down Button,Symbols,
⏸️,Pause Button,Symbols,
⏹️,Stop Button,Symbols,
⏺️,Record Button,Symbols,
⏏️,Eject Button,Symbols,
🎦,Cinema,Symbols,
🔅,Dim Button,Symbols,
🔆,Bright Button,Symbols,
📶,Antenna Bars,Symbols,
📳,Vibration Mode,Symbols,
📴,Mobile Phone Off,Symbols,
✖️,Multiplication Sign,Symbols,
➕,Plus Sign,Symbols,
➖,Minus Sign,Symbols,
➗,Division Sign,Symbols,
‼️,Double Exclamation Mark,Symbols,
⁉️,Exclamation Question Mark,Symbols,
❓,Question Mark,Symbols,
❔,White Question Mark,Symbols,
❕,White Exclamation Mark,Symbols,
❗,Exclamation Mark,Symbols,
〰️,Wavy Dash,Symbols,
💱,Currency Exchange,Symbols,
💲,Heavy Dollar Sign,Symbols,
♻️,Recycling Symbol,Symbols,
⚜️,Fleur-de-lis,Symbols,
🔱,Trident Emblem,Symbols,
📛,Name Badge,Symbols,
🔰,Japanese Symbol for Beginner,Symbols,
⭕,Hollow Red Circle,Symbols,
✅,Check Mark Button,Symbols,
☑️,Check Box with Check,Symbols,
✔️,Check Mark,Symbols,
❌,Cross Mark,Symbols,
❎,Cross Mark Button,Symbols,
➰,Curly Loop,Symbols,
➿,Double Curly Loop,Symbols,
〽️,Part Alternation Mark,Symbols,
✳️,Eight-Spoked Asterisk,Symbols,
✴️,Eight-Pointed Star,Symbols,
❇️,Sparkle,Symbols,
©️,Copyright,Symbols,
®️,Registered,Symbols,
™️,Trade Mark,Symbols,
#️⃣,Keycap Number Sign,Symbols,
*️⃣,Keycap Asterisk,Symbols,
0️⃣,Keycap Digit Zero,Symbols,
1️⃣,Keycap Digit One,Symbols,
2️⃣,Keycap Digit Two,Symbols,
3️⃣,Keycap Digit Three,Symbols,
4️⃣,Keycap Digit Four,Symbols,
5️⃣,Keycap Digit Five,Symbols,
6️⃣,Keycap Digit Six,Symbols,
7️⃣,Keycap Digit Seven,Symbols,
8️⃣,Keycap Digit Eight,Symbols,
9️⃣,Keycap Digit Nine,Symbols,
🔟,Keycap 10,Symbols,
🔠,Input Latin Uppercase,Symbols,
🔡,Input Latin Lowercase,Symbols,
🔢,Input Numbers,Symbols,
🔣,Input Symbols,Symbols,
🔤,Input Latin Letters,Symbols,
🅰️,A Button (Blood Type),Symbols,
🆎,AB Button (Blood Type),Symbols,
🅱️,B Button (Blood Type),Symbols,
🆑,CL Button,Symbols,
🆒,COOL Button,Symbols,
🆓,FREE Button,Symbols,
ℹ️,Information,Symbols,
🆔,ID Button,Symbols,
Ⓜ️,Circled M,Symbols,
🆕,NEW Button,Symbols,
🆖,NG Button,Symbols,
🅾️,O Button (Blood Type),Symbols,
🆗,OK Button,Symbols,
🅿️,P Button,Symbols,
🆘,SOS Button,Symbols,
🆙,UP! Button,Symbols,
🆚,VS Button,Symbols,
🈁,Japanese Here Button,Symbols,
🈂️,Japanese Service Charge Button,Symbols,
🈷️,Japanese Monthly Amount Button,Symbols,
🈶,Japanese Not Free of Charge Button,Symbols,
🈯,Japanese Reserved Button,Symbols,
🉐,Japanese Bargain Button,Symbols,
🈹,Japanese Discount Button,Symbols,
🈚,Japanese Free of Charge Button,Symbols,
🈲,Japanese Prohibited Button,Symbols,
🉑,Japanese Acceptable Button,Symbols,
🈸,Japanese Application Button,Symbols,
🈴,Japanese Passing Grade Button,Symbols,
🈳,Japanese Vacancy Button,Symbols,
㊗️,Japanese Congratulations Button,Symbols,
㊙️,Japanese Secret Button,Symbols,
🈺,Japanese Open for Business Button,Symbols,
🈵,Japanese No Vacancy Button,Symbols,
🔴,Red Circle,Symbols,
🔵,Blue Circle,Symbols,
⚫,Black Circle,Symbols,
⚪,White Circle,Symbols,
🟥,Red Square,Symbols,
🟧,Orange Square,Symbols,
🟨,Yellow Square,Symbols,
🟩,Green Square,Symbols,
🟦,Blue Square,Symbols,
🟪,Purple Square,Symbols,
🟫,Brown Square,Symbols,
⬛,Black Large Square,Symbols,
⬜,White Large Square,Symbols,
◼️,Black Medium Square,Symbols,
◻️,White Medium Square,Symbols,
◾,Black Medium-Small Square,Symbols,
◽,White Medium-Small Square,Symbols,
▪️,Black Small Square,Symbols,
▫️,White Small Square,Symbols,
🔶,Large Orange Diamond,Symbols,
🔷,Large Blue Diamond,Symbols,
🔸,Small Orange Diamond,Symbols,
🔹,Small Blue Diamond,Symbols,
🔺,Red Triangle Pointed Up,Symbols,
🔻,Red Triangle Pointed Down,Symbols,
💠,Diamond with a Dot,Symbols,
🔘,Radio Button,Symbols,
🔳,White Square Button,Symbols,
🔲,Black Square Button,Symbols,
🏁,chequered flag,Flags,
🚩,triangular flag,Flags,
🎌,crossed flags,Flags,
🏴,black flag,Flags,
🏳️,white flag,Flags,
🏳️‍🌈,rainbow flag,Flags,
🏳️‍⚧️,transgender flag,Flags,
🏴‍☠️,pirate flag,Flags,
🇦🇨,flag Ascension Island,Flags,
🇦🇩,flag Andorra,Flags,
🇦🇪,flag United Arab Emirates,Flags,
🇦🇫,flag Afghanistan,Flags,
🇦🇬,flag Antigua & Barbuda,Flags,
🇦🇮,flag Anguilla,Flags,
🇦🇱,flag Albania,Flags,
🇦🇲,flag Armenia,Flags,
🇦🇴,flag Angola,Flags,
🇦🇶,flag Antarctica,Flags,
🇦🇷,flag Argentina,Flags,
🇦🇸,flag American Samoa,Flags,
🇦🇹,flag Austria,Flags,
🇦🇺,flag Australia,Flags,
🇦🇼,flag Aruba,Flags,
🇦🇽,flag Åland Islands,Flags,
🇦🇿,flag Azerbaijan,Flags,
🇧🇦,flag Bosnia & Herzegovina,Flags,
🇧🇧,flag Barbados,Flags,
🇧🇩,flag Bangladesh,Flags,
🇧🇪,flag Belgium,Flags,
🇧🇫,flag Burkina Faso,Flags,
🇧🇬,flag Bulgaria,Flags,
🇧🇭,flag Bahrain,Flags,
🇧🇮,flag Burundi,Flags,
🇧🇯,flag Benin,Flags,
🇧🇱,flag St. Barthélemy,Flags,
🇧🇲,flag Bermuda,Flags,
🇧🇳,flag Brunei,Flags,
🇧🇴,flag Bolivia,Flags,
🇧🇶,flag Caribbean Netherlands,Flags,
🇧🇷,flag Brazil,Flags,
🇧🇸,flag Bahamas,Flags,
🇧🇹,flag Bhutan,Flags,
🇧🇻,flag Bouvet Island,Flags,
🇧🇼,flag Botswana,Flags,
🇧🇾,flag Belarus,Flags,
🇧🇿,flag Belize,Flags,
🇨🇦,flag Canada,Flags,
🇨🇨,flag Cocos (Keeling) Islands,Flags,
🇨🇩,flag Congo - Kinshasa,Flags,
🇨🇫,flag Central African Republic,Flags,
🇨🇬,flag Congo - Brazzaville,Flags,
🇨🇭,flag Switzerland,Flags,
🇨🇮,flag Côte d’Ivoire,Flags,
🇨🇰,flag Cook Islands,Flags,
🇨🇱,flag Chile,Flags,
🇨🇲,flag Cameroon,Flags,
🇨🇳,flag China,Flags,
🇨🇴,flag Colombia,Flags,
🇨🇵,flag Clipperton Island,Flags,
🇨🇶,flag Sark,Flags,
🇨🇷,flag Costa Rica,Flags,
🇨🇺,flag Cuba,Flags,
🇨🇻,flag Cape Verde,Flags,
🇨🇼,flag Curaçao,Flags,
🇨🇽,flag Christmas Island,Flags,
🇨🇾,flag Cyprus,Flags,
🇨🇿,flag Czechia,Flags,
🇩🇪,flag Germany,Flags,
🇩🇬,flag Diego Garcia,Flags,
🇩🇯,flag Djibouti,Flags,
🇩🇰,flag Denmark,Flags,
🇩🇲,flag Dominica,Flags,
🇩🇴,flag Dominican Republic,Flags,
🇩🇿,flag Algeria,Flags,
🇪🇦,flag Ceuta & Melilla,Flags,
🇪🇨,flag Ecuador,Flags,
🇪🇪,flag Estonia,Flags,
🇪🇬,flag Egypt,Flags,
🇪🇭,flag Western Sahara,Flags,
🇪🇷,flag Eritrea,Flags,
🇪🇸,flag Spain,Flags,
🇪🇹,flag Ethiopia,Flags,
🇪🇺,flag European Union,Flags,
🇫🇮,flag Finland,Flags,
🇫🇯,flag Fiji,Flags,
🇫🇰,flag Falkland Islands,Flags,
🇫🇲,flag Micronesia,Flags,
🇫🇴,flag Faroe Islands,Flags,
🇫🇷,flag France,Flags,
🇬🇦,flag Gabon,Flags,
🇬🇧,flag United Kingdom,Flags,
🇬🇩,flag Grenada,Flags,
🇬🇪,flag Georgia,Flags,
🇬🇫,flag French Guiana,Flags,
🇬🇬,flag Guernsey,Flags,
🇬🇭,flag Ghana,Flags,
🇬🇮,flag Gibraltar,Flags,
🇬🇱,flag Greenland,Flags,
🇬🇲,flag Gambia,Flags,
🇬🇳,flag Guinea,Flags,
🇬🇵,flag Guadeloupe,Flags,
🇬🇶,flag Equatorial Guinea,Flags,
🇬🇷,flag Greece,Flags,
🇬🇸,flag South Georgia & South Sandwich Islands,Flags,
🇬🇹,flag Guatemala,Flags,
🇬🇺,flag Guam,Flags,
🇬🇼,flag Guinea-Bissau,Flags,
🇬🇾,flag Guyana,Flags,
🇭🇰,flag Hong Kong SAR China,Flags,
🇭🇲,flag Heard & McDonald Islands,Flags,
🇭🇳,flag Honduras,Flags,
🇭🇷,flag Croatia,Flags,
🇭🇹,flag Haiti,Flags,
🇭🇺,flag Hungary,Flags,
🇮🇨,flag Canary Islands,Flags,
🇮🇩,flag Indonesia,Flags,
🇮🇪,flag Ireland,Flags,
🇮🇱,flag Israel,Flags,
🇮🇲,flag Isle of Man,Flags,
🇮🇳,flag India,Flags,
🇮🇴,flag British Indian Ocean Territory,Flags,
🇮🇶,flag Iraq,Flags,
🇮🇷,flag Iran,Flags,
🇮🇸,flag Iceland,Flags,
🇮🇹,flag Italy,Flags,
🇯🇪,flag Jersey,Flags,
🇯🇲,flag Jamaica,Flags,
🇯🇴,flag Jordan,Flags,
🇯🇵,flag Japan,Flags,
🇰🇪,flag Kenya,Flags,
🇰🇬,flag Kyrgyzstan,Flags,
🇰🇭,flag Cambodia,Flags,
🇰🇮,flag Kiribati,Flags,
🇰🇲,flag Comoros,Flags,
🇰🇳,flag St. Kitts & Nevis,Flags,
🇰🇵,flag North Korea,Flags,
🇰🇷,flag South Korea,Flags,
🇰🇼,flag Kuwait,Flags,
🇰🇾,flag Cayman Islands,Flags,
🇰🇿,flag Kazakhstan,Flags,
🇱🇦,flag Laos,Flags,
🇱🇧,flag Lebanon,Flags,
🇱🇨,flag St. Lucia,Flags,
🇱🇮,flag Liechtenstein,Flags,
🇱🇰,flag Sri Lanka,Flags,
🇱🇷,flag Liberia,Flags,
🇱🇸,flag Lesotho,Flags,
🇱🇹,flag Lithuania,Flags,
🇱🇺,flag Luxembourg,Flags,
🇱🇻,flag Latvia,Flags,
🇱🇾,flag Libya,Flags,
🇲🇦,flag Morocco,Flags,
🇲🇨,flag Monaco,Flags,
🇲🇩,flag Moldova,Flags,
🇲🇪,flag Montenegro,Flags,
🇲🇫,flag St. Martin,Flags,
🇲🇬,flag Madagascar,Flags,
🇲🇭,flag Marshall Islands,Flags,
🇲🇰,flag North Macedonia,Flags,
🇲🇱,flag Mali,Flags,
🇲🇲,flag Myanmar (Burma),Flags,
🇲🇳,flag Mongolia,Flags,
🇲🇴,flag Macao SAR China,Flags,
🇲🇵,flag Northern Mariana Islands,Flags,
🇲🇶,flag Martinique,Flags,
🇲🇷,flag Mauritania,Flags,
🇲🇸,flag Montserrat,Flags,
🇲🇹,flag Malta,Flags,
🇲🇺,flag Mauritius,Flags,
🇲🇻,flag Maldives,Flags,
🇲🇼,flag Malawi,Flags,
🇲🇽,flag Mexico,Flags,
🇲🇾,flag Malaysia,Flags,
🇲🇿,flag Mozambique,Flags,
🇳🇦,flag Namibia,Flags,
🇳🇨,flag New Caledonia,Flags,
🇳🇪,flag Niger,Flags,
🇳🇫,flag Norfolk Island,Flags,
🇳🇬,flag Nigeria,Flags,
🇳🇮,flag Nicaragua,Flags,
🇳🇱,flag Netherlands,Flags,
🇳🇴,flag Norway,Flags,
🇳🇵,flag Nepal,Flags,
🇳🇷,flag Nauru,Flags,
🇳🇺,flag Niue,Flags,
🇳🇿,flag New Zealand,Flags,
🇴🇲,flag Oman,Flags,
🇵🇦,flag Panama,Flags,
🇵🇪,flag Peru,Flags,
🇵🇫,flag French Polynesia,Flags,
🇵🇬,flag Papua New Guinea,Flags,
🇵🇭,flag Philippines,Flags,
🇵🇰,flag Pakistan,Flags,
🇵🇱,flag Poland,Flags,
🇵🇲,flag St. Pierre & Miquelon,Flags,
🇵🇳,flag Pitcairn Islands,Flags,
🇵🇷,flag Puerto Rico,Flags,
🇵🇸,flag Palestinian Territories,Flags,
🇵🇹,flag Portugal,Flags,
🇵🇼,flag Palau,Flags,
🇵🇾,flag Paraguay,Flags,
🇶🇦,flag Qatar,Flags,
🇷🇪,flag Réunion,Flags,
🇷🇴,flag Romania,Flags,
🇷🇸,flag Serbia,Flags,
🇷🇺,flag Russia,Flags,
🇷🇼,flag Rwanda,Flags,
🇸🇦,flag Saudi Arabia,Flags,
🇸🇧,flag Solomon Islands,Flags,
🇸🇨,flag Seychelles,Flags,
🇸🇩,flag Sudan,Flags,
🇸🇪,flag Sweden,Flags,
🇸🇬,flag Singapore,Flags,
🇸🇭,flag St. Helena,Flags,
🇸🇮,flag Slovenia,Flags,
🇸🇯,flag Svalbard & Jan Mayen,Flags,
🇸🇰,flag Slovakia,Flags,
🇸🇱,flag Sierra Leone,Flags,
🇸🇲,flag San Marino,Flags,
🇸🇳,flag Senegal,Flags,
🇸🇴,flag Somalia,Flags,
🇸🇷,flag Suriname,Flags,
🇸🇸,flag South Sudan,Flags,
🇸🇹,flag São Tomé & Príncipe,Flags,
🇸🇻,flag El Salvador,Flags,
🇸🇽,flag Sint Maarten,Flags,
🇸🇾,flag Syria,Flags,
🇸🇿,flag Eswatini,Flags,
🇹🇦,flag Tristan da Cunha,Flags,
🇹🇨,flag Turks & Caicos Islands,Flags,
🇹🇩,flag Chad,Flags,
🇹🇫,flag French Southern Territories,Flags,
🇹🇬,flag Togo,Flags,
🇹🇭,flag Thailand,Flags,
🇹🇯,flag Tajikistan,Flags,
🇹🇰,flag Tokelau,Flags,
🇹🇱,flag Timor-Leste,Flags,
🇹🇲,flag Turkmenistan,Flags,
🇹🇳,flag Tunisia,Flags,
🇹🇴,flag Tonga,Flags,
🇹🇷,flag Türkiye,Flags,
🇹🇹,flag Trinidad & Tobago,Flags,
🇹🇻,flag Tuvalu,Flags,
🇹🇼,flag Taiwan,Flags,
🇹🇿,flag Tanzania,Flags,
🇺🇦,flag Ukraine,Flags,
🇺🇬,flag Uganda,Flags,
🇺🇲,flag U.S. Outlying Islands,Flags,
🇺🇳,flag United Nations,Flags,
🇺🇸,flag United States,Flags,
🇺🇾,flag Uruguay,Flags,
🇺🇿,flag Uzbekistan,Flags,
🇻🇦,flag Vatican City,Flags,
🇻🇨,flag St. Vincent & Grenadines,Flags,
🇻🇪,flag Venezuela,Flags,
🇻🇬,flag British Virgin Islands,Flags,
🇻🇮,flag U.S. Virgin Islands,Flags,
🇻🇳,flag Vietnam,Flags,
🇻🇺,flag Vanuatu,Flags,
🇼🇫,flag Wallis & Futuna,Flags,
🇼🇸,flag Samoa,Flags,
🇽🇰,flag Kosovo,Flags,
🇾🇪,flag Yemen,Flags,
🇾🇹,flag Mayotte,Flags,
🇿🇦,flag South Africa,Flags,
🇿🇲,flag Zambia,Flags,
🇿🇼,flag Zimbabwe,Flags,
🏴󠁧󠁢󠁥󠁮󠁧󠁿,flag England,Flags,
🏴󠁧󠁢󠁳󠁣󠁴󠁿,flag Scotland,Flags,
🏴󠁧󠁢󠁷󠁬󠁳󠁿,flag Wales,Flags,
